Timestamp_Offset,Kinematic_Metric,Calculated_Value,Safety_Classification
5118.875,knee_flexion_depth,35.37,GREEN
5118.937,knee_flexion_depth,34.92,GREEN
5119.031,knee_flexion_depth,35.77,YELLOW
5119.109,knee_flexion_depth,37.82,YELLOW
5119.171,knee_flexion_depth,38.02,YELLOW
5119.25,knee_flexion_depth,36.36,YELLOW
5119.328,knee_flexion_depth,34.1,YELLOW
5119.39,knee_flexion_depth,35.69,YELLOW
5119.468,knee_flexion_depth,33.43,YELLOW
5119.546,knee_flexion_depth,37.63,YELLOW
5119.609,knee_flexion_depth,30.45,RED
5119.687,knee_flexion_depth,28.96,RED
5119.765,knee_flexion_depth,26.48,RED
5119.843,knee_flexion_depth,30.27,RED
5119.921,knee_flexion_depth,31.05,RED
5119.984,knee_flexion_depth,31.22,RED
5120.062,knee_flexion_depth,37.43,RED
5120.14,knee_flexion_depth,42.17,RED
5120.218,knee_flexion_depth,43.41,RED
5122.515,knee_flexion_depth,50.27,RED
5122.593,knee_flexion_depth,59.85,RED
5122.671,knee_flexion_depth,59.35,RED
5122.75,knee_flexion_depth,62.4,RED
5122.828,knee_flexion_depth,58.51,RED
5122.89,knee_flexion_depth,58.84,RED
5123.015,knee_flexion_depth,48.18,GREEN
5123.109,knee_flexion_depth,45.9,YELLOW
5123.171,knee_flexion_depth,47.52,YELLOW
5123.25,knee_flexion_depth,48.14,YELLOW
5123.328,knee_flexion_depth,48.58,YELLOW
5123.39,knee_flexion_depth,45.05,YELLOW
5123.468,knee_flexion_depth,47.64,YELLOW
5123.546,knee_flexion_depth,49.0,YELLOW
5123.625,knee_flexion_depth,49.97,YELLOW
5123.703,knee_flexion_depth,50.16,YELLOW
5123.781,knee_flexion_depth,45.68,GREEN
5123.843,knee_flexion_depth,50.25,GREEN
5123.921,knee_flexion_depth,45.58,GREEN
5124.0,knee_flexion_depth,41.97,GREEN
5124.078,knee_flexion_depth,41.71,GREEN
5124.156,knee_flexion_depth,41.47,GREEN
5124.218,knee_flexion_depth,43.97,GREEN
5124.296,knee_flexion_depth,42.03,GREEN
5124.375,knee_flexion_depth,42.79,GREEN
5124.453,knee_flexion_depth,42.86,GREEN
5124.531,knee_flexion_depth,45.99,GREEN
5124.593,knee_flexion_depth,48.39,GREEN
5124.671,knee_flexion_depth,46.36,GREEN
5124.75,knee_flexion_depth,49.66,GREEN
5124.812,knee_flexion_depth,50.15,GREEN
5124.89,knee_flexion_depth,51.36,GREEN
5124.968,knee_flexion_depth,52.31,GREEN
5125.031,knee_flexion_depth,54.22,GREEN
5125.109,knee_flexion_depth,52.81,GREEN
5125.171,knee_flexion_depth,50.85,GREEN
5125.515,knee_flexion_depth,53.54,YELLOW
5125.593,knee_flexion_depth,52.23,YELLOW
5125.687,knee_flexion_depth,45.67,GREEN
5125.75,knee_flexion_depth,46.69,YELLOW
5125.828,knee_flexion_depth,46.61,YELLOW
5125.89,knee_flexion_depth,49.42,YELLOW
5125.968,knee_flexion_depth,47.1,YELLOW
5126.046,knee_flexion_depth,46.53,YELLOW
5126.109,knee_flexion_depth,43.89,YELLOW
5126.187,knee_flexion_depth,43.1,YELLOW
5126.25,knee_flexion_depth,44.22,YELLOW
5126.328,knee_flexion_depth,45.41,YELLOW
5126.39,knee_flexion_depth,46.35,YELLOW
5126.468,knee_flexion_depth,46.64,YELLOW
5126.531,knee_flexion_depth,46.41,YELLOW
5126.609,knee_flexion_depth,46.95,YELLOW
5126.687,knee_flexion_depth,46.75,YELLOW
5126.75,knee_flexion_depth,46.22,YELLOW
5126.828,knee_flexion_depth,45.57,YELLOW
5126.906,knee_flexion_depth,47.62,YELLOW
5126.984,knee_flexion_depth,48.95,YELLOW
